product,size,minRange,maxRange,weight,strength,color
cch aliens original,0.33,0.33,0.54,66,8,black
cch aliens original,3/8,0.39,0.67,71,9,blue
cch aliens original,1/2,0.5,0.86,74,9,green
cch aliens original,3/4,0.61,0.86,74,9,yellow
cch aliens original,7/8,0.87,1.12,92,12,gray
cch aliens original,1,0.75,1.33,88,12,red
cch aliens original,1.5,1.03,1.63,110,16,orange
cch aliens original,2,1.2,1.95,122,16,violet
cch aliens original,2.5,1.4,2.35,139,16,white
fixe cch aliens revolution,0.33,0.33,0.55,46,5,black
fixe cch aliens revolution,3/8,0.39,0.67,48,6,blue
fixe cch aliens revolution,1/2,0.53,0.86,52,7,green
fixe cch aliens revolution,3/4,0.61,1,58,10,yellow
fixe cch aliens revolution,7/8,0.68,1.2,59,10,gray
fixe cch aliens revolution,1,0.78,1.3,61,10,red
totem basic,Basic 0.5,0.44,0.68,56,5,blue
totem basic,Basic 0.65,0.53,0.84,60,7,green
totem basic,Basic 0.75,0.65,1.02,68,9,yellow
totem basic,Basic 0.95,0.78,1.24,70,11,red
totem,0.5,0.46,0.74,69,6,black
totem,0.65,0.54,0.89,75,8,blue
totem,0.8,0.67,1.09,83,9,yellow
totem,1,0.82,1.35,95,10,purple
totem,1.25,1.01,1.67,109,13,green
totem,1.5,1.24,2.06,132,13,red
totem,1.8,1.65,2.53,144,13,orange
x4,0.1,0.33,0.54,51,5,red
x4,0.2,0.39,0.65,54,6,yellow
x4,0.3,0.49,0.83,75,8,blue
x4,0.4,0.61,1.05,82,9,grey
x4,0.5,0.78,1.33,91,9,purple
x4,0.75,0.94,1.62,112,9,green
c3,000,0.3,0.5,55,4,grey
c3,00,0.35,0.54,57,6,purple
c3,0,0.42,0.62,59,7,green
c3,1,0.47,0.74,62,10,red
c3,2,0.56,0.89,66,10,yellow
c4 ultralight,0.4,0.61,1.05,61,8,grey
c4 ultralight,0.5,0.77,1.32,74,10,purple
c4 ultralight,0.75,0.94,1.62,89,12,green
c4 ultralight,1,1.19,2.05,101,12,red
c4 ultralight,2,1.46,2.55,126,12,yellow
c4 ultralight,3,2,3.46,167,12,blue
c4 ultralight,4,2.6,4.51,255,12,grey
c4,0.3,0.54,0.92,75,8,blue
c4,0.4,0.61,1.05,83,10,grey
c4,0.5,0.77,1.32,99,12,purple
c4,0.75,0.94,1.62,119,14,green
c4,1,1.19,2.05,136,14,red
c4,2,1.46,2.55,155,14,yellow
c4,3,2,3.46,201,14,blue
c4,4,2.6,4.51,289,14,grey
c4,5,3.36,5.85,380,14,purple
c4,6,4.5,7.68,557,14,green